Product ID,Name,Model,SKU,Description,Meta Tag Description,Meta Tag Keywords,Tags,UPC,EAN,JAN,ISBN,MPN,Price,Location,Status,Tax Class,Quantity,Minimum Quantity,Image,Subtract Stock,Out Of Stock Status,Requires Shipping,SEO Keyword,Date Available,Length,Width,Height,Length Class,Weight,Weight Class,Sort Order,Reward Points,Manufacturer,Categories,Filters,Stores,Downloads,Related Products,Meta Title
,Aeroplane Mixed Pickle,ALM032,8901552020558.0,Aeroplane Mixed Pickle,Aeroplane Mixed Pickle, , ,,,,,,85.6,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,aeroplane-mixed-pickle,29/08/2023,,,,,,,32.0,,AL Maya,807.0,,0.0,,,Aeroplane Mixed Pickle
,Aeroplane Mixed Pickle In Oil,ALM033,8901552020350.0,Aeroplane Mixed Pickle In Oil,Aeroplane Mixed Pickle In Oil, , ,,,,,,116.3625,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AEROPLANE MIXED PICKLE IN OIL.jpg,Yes,,,aeroplane-mixed-pickle-in-oil,29/08/2023,,,,,,,33.0,,AL Maya,807.0,,0.0,,,Aeroplane Mixed Pickle In Oil
,Aeroplane Pachranga Achaar,ALM034,8901552020404.0,Aeroplane Pachranga Achaar,Aeroplane Pachranga Achaar, , ,,,,,,73.5625,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AEROPLANE PACHRANGA ACHAAR.jpg,Yes,,,aeroplane-pachranga-achaar,29/08/2023,,,,,,,34.0,,AL Maya,807.0,,0.0,,,Aeroplane Pachranga Achaar
,Aeroplane Pachranga Achaar,ALM035,8901552020671.0,Aeroplane Pachranga Achaar,Aeroplane Pachranga Achaar, , ,,,,,,85.6,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,aeroplane-pachranga-achaar,29/08/2023,,,,,,,35.0,,AL Maya,807.0,,0.0,,,Aeroplane Pachranga Achaar
,Aeroplane Slice Mango Pickle,ALM036,8901552002561.0,Aeroplane Slice Mango Pickle,Aeroplane Slice Mango Pickle, , ,,,,,,65.3875,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AEROPLANE SLICE MANGO PICKLE.jpg,Yes,,,aeroplane-slice-mango-pickle,29/08/2023,,,,,,,36.0,,AL Maya,807.0,,0.0,,,Aeroplane Slice Mango Pickle
,Ak Apple Cider Natural Vinegar,ALM037,40232825057.0,Ak Apple Cider Natural Vinegar,Ak Apple Cider Natural Vinegar, , ,,,,,,123.75,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK APPLE CIDER NATURAL VINEGAR.jpg,Yes,,,ak-apple-cider-natural-vinegar,29/08/2023,,,,,,,37.0,,AL Maya,425.0,,0.0,,,Ak Apple Cider Natural Vinegar
,Ak Apple Cider Natural Vinegar,ALM038,40232825064.0,Ak Apple Cider Natural Vinegar,Ak Apple Cider Natural Vinegar, , ,,,,,,112.75,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,ak-apple-cider-natural-vinegar,29/08/2023,,,,,,,38.0,,AL Maya,425.0,,0.0,,,Ak Apple Cider Natural Vinegar
,Ak Baby Gherkins Whole,ALM039,40232922756.0,Ak Baby Gherkins Whole,Ak Baby Gherkins Whole, , ,,,,,,115.5,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BABY GHERKINS WHOLE.jpg,Yes,,,ak-baby-gherkins-whole,29/08/2023,,,,,,,39.0,,AL Maya,475.0,,0.0,,,Ak Baby Gherkins Whole
,Ak Baked Beans In Tomato Sauce,ALM040,40232922015.0,Ak Baked Beans In Tomato Sauce,Ak Baked Beans In Tomato Sauce, , ,,,,,,123.3375,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BAKED BEANS IN TOMATO SAUCE.jpg,Yes,,,ak-baked-beans-in-tomato-sauce,29/08/2023,,,,,,,40.0,,AL Maya,475.0,,0.0,,,Ak Baked Beans In Tomato Sauce
,Ak Bbq Sauce Original,ALM041,40232825286.0,Ak Bbq Sauce Original,Ak Bbq Sauce Original, , ,,,,,,132.0,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BBQ SAUCE ORIGINAL.jpg,Yes,,,ak-bbq-sauce-original,29/08/2023,,,,,,,41.0,,AL Maya,475.0,,0.0,,,Ak Bbq Sauce Original
,Ak Beef Luncheon Meat Regular,ALM042,40232825071.0,Ak Beef Luncheon Meat Regular,Ak Beef Luncheon Meat Regular, , ,,,,,,286.4375,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BEEF LUNCHEON MEAT REGULAR.jpg,Yes,,,ak-beef-luncheon-meat-regular,29/08/2023,,,,,,,42.0,,AL Maya,475.0,,0.0,,,Ak Beef Luncheon Meat Regular
,Ak Bread Crumbs Garlc,ALM043,40232825583.0,Ak Bread Crumbs Garlc,Ak Bread Crumbs Garlc, , ,,,,,,138.0,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BREAD CRUMBS GARLC.jpg,Yes,,,ak-bread-crumbs-garlc,29/08/2023,,,,,,,43.0,,AL Maya,475.0,,0.0,,,Ak Bread Crumbs Garlc
